Wall time,Step,Value
1617798680,5,0.68932306
1617798769,18,0.685947016
1617798814,24,0.683370931
1617798931,40,0.66899024
1617798944,42,0.66441102
1617798965,45,0.659744581
1617799020,53,0.63729072
1617799040,56,0.633539632
1617799144,71,0.60567176
1617799164,74,0.588446623
1617799301,94,0.525344117
1617799356,102,0.567346392
1617799383,106,0.569814723
1617799519,126,0.518018706
1617799608,139,0.523942662
1617799683,150,0.500485953
1617799717,155,0.48023737
1617799737,158,0.493981456
1617799798,167,0.436077453
1617799873,178,0.384438387
1617799907,183,0.366516295
1617799921,185,0.357462559
1617799928,186,0.341331563
1617799955,190,0.342847407
1617800009,198,0.360530498
1617800071,207,0.351504795
1617800105,212,0.337128434
1617800180,223,0.3252408
1617800221,229,0.318651577
1617800255,234,0.32018912
1617800357,249,0.332933967
1617800398,255,0.299924216
1617800432,260,0.309595279
1617800479,267,0.299772713
1617800507,271,0.281857979
1617800521,273,0.277761905
1617800650,292,0.259365351
1617800684,297,0.265150913
1617800725,303,0.251079071
1617800759,308,0.257198792
1617800773,310,0.249425624
1617800828,318,0.292296358
1617800910,330,0.295087928
1617800971,339,0.231245998
1617801026,347,0.207871571
1617801135,363,0.261267251
1617801162,367,0.219239527
1617801230,377,0.209861249
1617801531,421,0.196186686
1617801538,422,0.232945732
1617801653,439,0.209444785
1617801667,441,0.210272404
1617801674,442,0.202008057
1617801694,445,0.20159299
1617801796,460,0.230819616
1617801817,463,0.201635086
1617801823,464,0.205726945
1617801892,474,0.183437066
1617802007,491,0.227617403
1617802021,493,0.21917175
1617802151,512,0.230478938
1617802164,514,0.231111865
1617802185,517,0.204488332
1617802239,525,0.204638485
1617802280,531,0.251212576
1617802294,533,0.265115383
1617802314,536,0.197164039
1617802355,542,0.243042107
1617802389,547,0.214435812
1617802458,557,0.179765001
1617802500,563,0.175073603
1617802541,569,0.180364575
1617802568,573,0.191714254
1617802609,579,0.183861714
1617802623,581,0.182703708
1617802657,586,0.191667408
1617802664,587,0.199335581
1617802704,593,0.202250713
1617802766,602,0.197242876
1617802889,620,0.235810038
1617802902,622,0.21130736
1617802984,634,0.188034633
1617803031,641,0.186039018
1617803038,642,0.18602499
1617803053,644,0.185454811
1617803075,647,0.183202117
1617803089,649,0.215135165
1617803170,661,0.185732171
1617803191,664,0.242682267
1617803218,668,0.178288808
1617803239,671,0.179133157
1617803259,674,0.184628845
1617803286,678,0.180459965
1617803321,683,0.185176462
1617803355,688,0.178628427
1617803531,714,0.182525162
1617803558,718,0.174706813
1617803585,722,0.180926861
1617803591,723,0.181165244
1617803639,730,0.18226275
1617803700,739,0.183215353
1617803727,743,0.177217182
1617803754,747,0.20982516
1617803788,752,0.188496453
1617803815,756,0.184352265
1617803876,765,0.174720958
1617803903,769,0.175635738
1617803910,770,0.181916147
1617803917,771,0.177493726
1617803930,773,0.182630774
1617803937,774,0.178255828
1617803978,780,0.180984859
1617804012,785,0.179532345
1617804025,787,0.179470552
1617804059,792,0.176939054
1617804066,793,0.176121737
1617804073,794,0.174845068
1617804100,798,0.185405894
1617804127,802,0.179974898
1617804161,807,0.193070888
1617804168,808,0.183744042
1617804174,809,0.236151135
1617804330,832,0.212303852
1617804357,836,0.181378494
1617804581,869,0.177050766
1617804615,874,0.174360338
1617804629,876,0.18310356
1617804670,882,0.173613545
1617804724,890,0.205809274
1617804764,896,0.178379612
1617804791,900,0.179829763
1617804838,907,0.183180673
1617804852,909,0.175728812
1617804893,915,0.182462158
1617804906,917,0.181601825
1617805001,931,0.175638939
1617805007,932,0.185514032
1617805075,942,0.18159129
1617805095,945,0.269615999
1617805156,954,0.179036323
1617805183,958,0.197037845
1617805210,962,0.218320987
1617805272,971,0.231359969
1617805278,972,0.187625096
1617805319,978,0.179563393
1617805326,979,0.197616406
1617805360,984,0.179488049
1617805441,996,0.207760278
1617805482,1002,0.193213078
1617805502,1005,0.20390274
1617805563,1014,0.184335024
1617805583,1017,0.1749655
1617805637,1025,0.185378338
1617805719,1037,0.190099864
1617805766,1044,0.178862049
1617805854,1057,0.185103994
1617805894,1063,0.246195425
1617805915,1066,0.23365072
1617805928,1068,0.17787239
1617805955,1072,0.179943955
1617805982,1076,0.176630914
1617805996,1078,0.198814296
1617806029,1083,0.182541355
1617806036,1084,0.182426791
1617806097,1093,0.209197751
1617806137,1099,0.175451289
1617806164,1103,0.175076013
1617806171,1104,0.185899111
1617806239,1114,0.174824626
1617806272,1119,0.176317338
1617806367,1133,0.1969259
1617806515,1155,0.181593257
1617806522,1156,0.181232125
1617806549,1160,0.177400594
1617806556,1161,0.382010848
1617806562,1162,0.248600775
1617806686,1180,0.17952678
1617806767,1192,0.183645356
1617806774,1193,0.180653273
1617806814,1199,0.217075343
1617806828,1201,0.176322903
1617806862,1206,0.185920682
1617807038,1232,0.206358056
1617807052,1234,0.177416252
1617807142,1244,0.183975534
1617807240,1255,0.186158891
1617807267,1258,0.179154763
1617807289,1261,0.172444119
1617807470,1281,0.179026125
1617807534,1287,0.17438787
1617807589,1294,0.184836343
1617807650,1300,0.190886518
1617807725,1310,0.180278893
1617807766,1316,0.221770722
