Wall time,Step,Value
1617798680,5,0.148236705
1617798769,18,0.155627099
1617798814,24,0.156297733
1617798931,40,0.162778655
1617798944,42,0.162322598
1617798965,45,0.165765255
1617799020,53,0.170715339
1617799040,56,0.171936397
1617799144,71,0.185310119
1617799164,74,0.186437112
1617799301,94,0.203374773
1617799356,102,0.20616476
1617799383,106,0.201021088
1617799519,126,0.224911235
1617799608,139,0.233453466
1617799683,150,0.250078435
1617799717,155,0.24565889
1617799737,158,0.264634634
1617799798,167,0.262811338
1617799873,178,0.305121299
1617799907,183,0.34629642
1617799921,185,0.330642564
1617799928,186,0.339586381
1617799955,190,0.344249327
1617800009,198,0.323227327
1617800071,207,0.33878861
1617800105,212,0.355340913
1617800180,223,0.380414026
1617800221,229,0.368486275
1617800255,234,0.375522487
1617800357,249,0.389571721
1617800398,255,0.383138773
1617800432,260,0.398505619
1617800479,267,0.407879055
1617800507,271,0.418765005
1617800521,273,0.404984923
1617800650,292,0.455224467
1617800684,297,0.442184415
1617800725,303,0.552111585
1617800759,308,0.521390326
1617800773,310,0.559565704
1617800828,318,0.459545339
1617800910,330,0.491415802
1617800971,339,0.580707099
1617801026,347,0.822096225
1617801135,363,0.487342943
1617801162,367,0.719865831
1617801230,377,0.859341118
1617801531,421,1.049947832
1617801538,422,0.703749852
1617801653,439,0.780855352
1617801667,441,0.854200404
1617801674,442,0.72023375
1617801694,445,0.908973534
1617801796,460,0.580251496
1617801817,463,0.944541395
1617801823,464,0.77256416
1617801892,474,1.44172227
1617802007,491,0.589003507
1617802021,493,0.755950948
1617802151,512,0.684108166
1617802164,514,0.638217153
1617802185,517,0.838756468
1617802239,525,0.799705833
1617802280,531,0.63639353
1617802294,533,0.541609945
1617802314,536,0.964539032
1617802355,542,0.887444057
1617802389,547,0.70479
1617802458,557,1.357089635
1617802500,563,1.561635919
1617802541,569,1.643939689
1617802568,573,1.059512887
1617802609,579,1.370415837
1617802623,581,1.172536239
1617802657,586,1.032175124
1617802664,587,1.078963
1617802704,593,0.83197942
1617802766,602,1.067017764
1617802889,620,0.623668265
1617802902,622,0.807771739
1617802984,634,1.157415472
1617803031,641,1.145217475
1617803038,642,1.577576809
1617803053,644,1.084948797
1617803075,647,1.363550778
1617803089,649,0.858820882
1617803170,661,1.352183055
1617803191,664,0.617191894
1617803218,668,1.315639727
1617803239,671,1.963580959
1617803259,674,1.206615567
1617803286,678,1.255916059
1617803321,683,1.24799218
1617803355,688,1.808543131
1617803531,714,1.470920816
1617803558,718,1.511558983
1617803585,722,1.962547377
1617803591,723,1.342177205
1617803639,730,1.117663737
1617803700,739,1.274570264
1617803727,743,1.530583017
1617803754,747,0.796247646
1617803788,752,1.280884165
1617803815,756,1.214467175
1617803876,765,1.692798361
1617803903,769,2.158249915
1617803910,770,1.777712815
1617803917,771,2.15088632
1617803930,773,1.179866865
1617803937,774,1.569569297
1617803978,780,1.201087609
1617804012,785,1.493249927
1617804025,787,1.355436724
1617804059,792,2.128564566
1617804066,793,1.567953266
1617804073,794,2.116971277
1617804100,798,1.577301882
1617804127,802,1.268702094
1617804161,807,0.903283525
1617804168,808,1.246445067
1617804174,809,0.636139745
1617804330,832,0.87824706
1617804357,836,1.620860212
1617804581,869,1.770267822
1617804615,874,1.859132387
1617804629,876,1.615378447
1617804670,882,2.189929597
1617804723,890,0.828559883
1617804764,896,2.1493081
